0	0	Air
1	0	Stone
1	1	Granite
1	2	Polished Granite
1	3	Diorite
1	4	Polished Diorite
1	5	Andesite
1	6	Polished Andesite
2	0	Grass
3	0	Dirt
3	1	Grassless Dirt
3	2	Podzol
4	0	Cobblestone
5	0	Oak Wood Plank
5	1	Spruce Wood Plank
5	2	Birch Wood Plank
5	3	Jungle Wood Plank
5	4	Acacia Wood Plank
5	5	Dark Oak Wood Plank
6	0	Oak Sapling
6	1	Spruce Sapling
6	2	Birch Sapling
6	3	Jungle Sapling
6	4	Acacia Sapling
6	5	Dark Oak Sapling
7	0	Bedrock
8	0	Water
9	0	Stationary Water
10	0	Lava
11	0	Stationary Lava
12	0	Sand
12	1	Red Sand
13	0	Gravel
14	0	Gold Ore
15	0	Iron Ore
16	0	Coal Ore
17	0	Oak Wood
17	1	Spruce Wood
17	2	Birch Wood
17	3	Jungle Wood
18	0	Oak Leaves
18	1	Spruce Leaves
18	2	Birch Leaves
18	3	Jungle Leaves
19	0	Sponge
20	0	Glass
21	0	Lapis Lazuli Ore
22	0	Lapis Lazuli Block
23	0	Dispenser
24	0	Sandstone
24	1	Chiseled Sandstone
24	2	Smooth Sandstone
25	0	Note Block
26	0	Bed Block
27	0	Powered Rail
28	0	Detector Rail
29	0	Sticky Piston
30	0	Web
31	0	Dead Shrub
31	1	Grass
31	2	Fern
32	0	Dead Shrub
33	0	Piston
34	0	Piston Head
35	0	White Wool
35	1	Orange Wool
35	2	Magenta Wool
35	3	Light Blue Wool
35	4	Yellow Wool
35	5	Lime Wool
35	6	Pink Wool
35	7	Gray Wool
35	8	Light Gray Wool
35	9	Cyan Wool
35	10	Purple Wool
35	11	Blue Wool
35	12	Brown Wool
35	13	Green Wool
35	14	Red Wool
35	15	Black Wool
37	0	Dandelion
38	0	Poppy
38	1	Blue Orchid
38	2	Allium
38	3	Azure Bluet
38	4	Red Tulip
38	5	Orange Tulip
38	6	White Tulip
38	7	Pink Tulip
38	8	Oxeye Daisy
39	0	Brown Mushroom
40	0	Red Mushroom
41	0	Gold Block
42	0	Iron Block
43	0	Double Stone Slab
43	1	Double Sandstone Slab
43	2	Double Wooden Slab
43	3	Double Cobblestone Slab
43	4	Double Brick Slab
43	5	Double Stone Brick Slab
43	6	Double Nether Brick Slab
43	7	Double Quartz Slab
44	0	Stone Slab
44	1	Sandstone Slab
44	2	Wooden Slab
44	3	Cobblestone Slab
44	4	Brick Slab
44	5	Stone Brick Slab
44	6	Nether Brick Slab
44	7	Quartz Slab
45	0	Brick
46	0	TNT
47	0	Bookshelf
48	0	Mossy Cobblestone
49	0	Obsidian
50	0	Torch
51	0	Fire
52	0	Monster Spawner
53	0	Oak Wood Stairs
54	0	Chest
55	0	Redstone Wire
56	0	Diamond Ore
57	0	Diamond Block
58	0	Workbench
59	0	Wheat Crops
60	0	Soil
61	0	Furnace
62	0	Burning Furnace
63	0	Sign Post
64	0	Wooden Door Block
65	0	Ladder
66	0	Rails
67	0	Cobblestone Stairs
68	0	Wall Sign
69	0	Lever
70	0	Stone Pressure Plate
71	0	Iron Door Block
72	0	Wooden Pressure Plate
73	0	Redstone Ore
74	0	Glowing Redstone Ore
75	0	Redstone Torch (off)
76	0	Redstone Torch (on)
77	0	Stone Button
78	0	Snow
79	0	Ice
80	0	Snow Block
81	0	Cactus
82	0	Clay
83	0	Sugar Cane
84	0	Jukebox
85	0	Fence
86	0	Pumpkin
87	0	Netherrack
88	0	Soul Sand
89	0	Glowstone
90	0	Portal
91	0	Jack-O-Lantern
92	0	Cake Block
93	0	Redstone Repeater Block (off)
94	0	Redstone Repeater Block (on)
95	0	White Stained Glass
95	1	Orange Stained Glass
95	2	Magenta Stained Glass
95	3	Light Blue Stained Glass
95	4	Yellow Stained Glass
95	5	Lime Stained Glass
95	6	Pink Stained Glass
95	7	Gray Stained Glass
95	8	Light Gray Stained Glass
95	9	Cyan Stained Glass
95	10	Purple Stained Glass
95	11	Blue Stained Glass
95	12	Brown Stained Glass
95	13	Green Stained Glass
95	14	Red Stained Glass
95	15	Black Stained Glass
96	0	Trapdoor
97	0	Stone (Silverfish)
97	1	Cobblestone (Silverfish)
97	2	Stone Brick (Silverfish)
97	3	Mossy Stone Brick (Silverfish)
97	4	Cracked Stone Brick (Silverfish)
97	5	Chiseled Stone Brick (Silverfish)
98	0	Stone Brick
98	1	Mossy Stone Brick
98	2	Cracked Stone Brick
98	3	Chiseled Stone Brick
99	0	Red Mushroom Cap
100	0	Brown Mushroom Cap
101	0	Iron Bars
102	0	Glass Pane
103	0	Melon Block
104	0	Pumpkin Stem
105	0	Melon Stem
106	0	Vines
107	0	Fence Gate
108	0	Brick Stairs
109	0	Stone Brick Stairs
110	0	Mycelium
111	0	Lily Pad
112	0	Nether Brick
113	0	Nether Brick Fence
114	0	Nether Brick Stairs
115	0	Nether Wart
116	0	Enchantment Table
117	0	Brewing Stand
118	0	Cauldron
119	0	End Portal
120	0	End Portal Frame
121	0	End Stone
122	0	Dragon Egg
123	0	Redstone Lamp (inactive)
124	0	Redstone Lamp (active)
125	0	Double Oak Wood Slab
125	1	Double Spruce Wood Slab
125	2	Double Birch Wood Slab
125	3	Double Jungle Wood Slab
125	4	Double Acacia Wood Slab
125	5	Double Dark Oak Wood Slab
126	0	Oak Wood Slab
126	1	Spruce Wood Slab
126	2	Birch Wood Slab
126	3	Jungle Wood Slab
126	4	Acacia Wood Slab
126	5	Dark Oak Wood Slab
127	0	Cocoa Plant
128	0	Sandstone Stairs
129	0	Emerald Ore
130	0	Ender Chest
131	0	Tripwire Hook
132	0	Tripwire
133	0	Emerald Block
134	0	Spruce Wood Stairs
135	0	Birch Wood Stairs
136	0	Jungle Wood Stairs
137	0	Command Block
138	0	Beacon Block
139	0	Cobblestone Wall
139	1	Mossy Cobblestone Wall
140	0	Flower Pot
141	0	Carrots
142	0	Potatoes
143	0	Wooden Button
144	0	Mob Head
145	0	Anvil
146	0	Trapped Chest
147	0	Weighted Pressure Plate (light)
148	0	Weighted Pressure Plate (heavy)
149	0	Redstone Comparator (inactive)
150	0	Redstone Comparator (active)
151	0	Daylight Sensor
152	0	Redstone Block
153	0	Nether Quartz Ore
154	0	Hopper
155	0	Quartz Block
155	1	Chiseled Quartz Block
155	2	Pillar Quartz Block
156	0	Quartz Stairs
157	0	Activator Rail
158	0	Dropper
159	0	White Stained Clay
159	1	Orange Stained Clay
159	2	Magenta Stained Clay
159	3	Light Blue Stained Clay
159	4	Yellow Stained Clay
159	5	Lime Stained Clay
159	6	Pink Stained Clay
159	7	Gray Stained Clay
159	8	Light Gray Stained Clay
